iter	Passed	Remaining
0	148	148422
1	149	74840
2	151	50376
3	154	38524
4	156	31206
5	158	26224
6	159	22652
7	161	19969
8	162	17888
9	163	16215
10	165	14847
11	166	13712
12	169	12867
13	170	12030
14	172	11308
15	173	10681
16	175	10134
17	176	9646
18	178	9212
19	184	9040
20	186	8672
21	187	8329
22	188	8016
23	190	7728
24	191	7460
25	192	7225
26	196	7088
27	198	6893
28	200	6702
29	202	6550
30	204	6378
31	205	6212
32	206	6057
33	209	5962
34	212	5858
35	214	5733
36	215	5610
37	216	5490
38	218	5376
39	219	5267
40	220	5164
41	222	5067
42	224	5006
43	226	4915
44	227	4830
45	228	4748
46	230	4681
47	232	4607
48	233	4535
49	234	4463
50	239	4455
51	240	4391
52	242	4328
53	243	4266
54	244	4206
55	246	4148
56	247	4091
57	248	4035
58	249	3982
59	254	3990
60	256	3947
61	258	3905
62	259	3863
63	261	3823
64	263	3783
65	264	3749
66	270	3760
67	271	3724
68	273	3690
69	274	3653
70	276	3618
71	278	3583
72	279	3554
73	285	3574
74	287	3546
75	289	3519
76	291	3492
77	293	3466
78	295	3441
79	301	3467
80	304	3455
81	306	3436
82	307	3400
83	309	3378
84	314	3389
85	316	3366
86	318	3347
87	320	3324
88	322	3302
89	324	3281
90	329	3293
91	331	3276
92	333	3257
93	335	3234
94	337	3211
95	338	3189
96	340	3171
97	345	3179
98	347	3160
99	348	3140
100	350	3120
101	352	3101
102	354	3083
103	355	3064
104	360	3076
105	362	3059
106	367	3068
107	369	3050
108	370	3032
109	376	3043
110	378	3029
111	380	3014
112	382	3003
113	384	2988
114	386	2975
115	392	2987
116	394	2974
117	396	2964
118	398	2953
119	400	2937
120	402	2921
121	407	2930
122	408	2915
123	410	2901
124	412	2888
125	413	2871
126	414	2852
127	416	2836
128	420	2837
129	422	2827
130	423	2812
131	425	2796
132	426	2781
133	427	2765
134	429	2750
135	430	2735
136	431	2720
137	436	2727
138	438	2715
139	440	2703
140	441	2689
141	442	2672
